pbp_id,period,pbp_order,wall_clock_int,description,points,msg_type,action_type,player_id_1,player_id_2,player_id_3,traditional_off_lineup,enhanced_off_lineup,trad_lineup_status,enh_lineup_status
539,4,387,469850,Whitmore Free Throw 1 of 2 (6 PTS),1,3,11,1641715.0,,,"[203500, 1628415, 1628988, 1630256, 1641708, 1642263]","[203500, 1628988, 1631106, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
542,4,389,470040,Whitmore Free Throw 2 of 2 (7 PTS),1,3,12,1641715.0,,,"[203500, 1628415, 1628988, 1630256, 1641708, 1642263]","[203500, 1628988, 1631106, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
571,4,410,473870,Ja. Green 6' Driving Floating Bank Jump Shot (22 PTS),2,1,102,1630224.0,,,"[203500, 1628988, 1630256, 1631106, 1641708, 1642263]","[203500, 1628988, 1630578, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
581,4,417,474620,Thompson Tip Layup Shot (20 PTS),2,1,97,1641708.0,,,"[203500, 1628988, 1630256, 1631106, 1641708, 1642263]","[1628988, 1630224, 1630578, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
597,4,427,477150,Sengun 5' Turnaround Hook Shot (22 PTS),2,1,58,1630578.0,,,"[1628988, 1630256, 1641708, 1641715, 1642263]","[1628988, 1630224, 1630578, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
604,4,432,478240,Sengun Free Throw 1 of 2 (23 PTS),1,3,11,1630578.0,,,"[1628988, 1630256, 1641708, 1641715, 1642263]","[1628988, 1630224, 1630578, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
605,4,433,478470,Sengun Free Throw 2 of 2 (24 PTS),1,3,12,1630578.0,,,"[1628988, 1630256, 1641708, 1641715, 1642263]","[1628988, 1630224, 1630578, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
613,4,439,479330,Adams Tip Dunk Shot (2 PTS),2,1,107,203500.0,,,"[1628988, 1630256, 1641708, 1641715, 1642263]","[1628988, 1630224, 1630578, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
625,4,447,481060,Sengun Free Throw 1 of 2 (25 PTS),1,3,11,1630578.0,,,"[1628988, 1630256, 1631106, 1641715, 1642263]","[203500, 1630224, 1630578, 1631106, 1641715]",HAS_LINEUP,HAS_LINEUP
632,4,453,481550,Ja. Green 14' Step Back Jump Shot (24 PTS),2,1,80,1630224.0,,,"[203500, 1628988, 1630256, 1641715, 1642263]","[203500, 1630224, 1630578, 1631106, 1641715]",HAS_LINEUP,HAS_LINEUP
672,4,482,486050,Sengun Free Throw 1 of 2 (26 PTS),1,3,11,1630578.0,,,"[203500, 1628988, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
678,4,487,486780,Sengun 1' Driving Floating Jump Shot (28 PTS) (Thompson 4 AST),2,1,101,1630578.0,1641708.0,,"[203500, 1628988, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
697,4,500,489240,Sengun 1' Cutting Dunk Shot (30 PTS) (Thompson 5 AST),2,1,108,1630578.0,1641708.0,,"[1628988, 1630256, 1631106, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
