pbp_id,original_points,original_description,processed_points,processed_description,team,points_diff
55,3,Ja. Green 25' 3PT Pullup Jump Shot (5 PTS),3,Ja. Green 25' 3PT Pullup Jump Shot (5 PTS),HOU,0
68,1,Ja. Green Free Throw 2 of 2 (6 PTS),1,Ja. Green Free Throw 2 of 2 (6 PTS),HOU,0
70,2,Whitmore 1' Driving Dunk (2 PTS),2,Whitmore 1' Driving Dunk (2 PTS),HOU,0
80,2,Thompson 1' Cutting Dunk Shot (5 PTS) (Sengun 1 AST),2,Thompson 1' Cutting Dunk Shot (5 PTS) (Sengun 1 AST),HOU,0
109,2,Ja. Green 10' Fadeaway Jumper (8 PTS),2,Ja. Green 10' Fadeaway Jumper (8 PTS),HOU,0
123,3,Brooks 28' 3PT Jump Shot (3 PTS) (Tate 1 AST),3,Brooks 28' 3PT Jump Shot (3 PTS) (Tate 1 AST),HOU,0
159,1,Whitmore Free Throw 1 of 3 (3 PTS),1,Whitmore Free Throw 1 of 3 (3 PTS),HOU,0
160,1,Whitmore Free Throw 2 of 3 (4 PTS),1,Whitmore Free Throw 2 of 3 (4 PTS),HOU,0
161,1,Whitmore Free Throw 3 of 3 (5 PTS),1,Whitmore Free Throw 3 of 3 (5 PTS),HOU,0
186,1,Irving Free Throw Technical (1 PTS),1,Irving Free Throw Technical (1 PTS),HOU,0
201,1,Eason Free Throw 1 of 2 (1 PTS),1,Eason Free Throw 1 of 2 (1 PTS),HOU,0
206,1,Eason Free Throw 2 of 2 (2 PTS),1,Eason Free Throw 2 of 2 (2 PTS),HOU,0
214,1,Sheppard Free Throw Technical (1 PTS),1,Sheppard Free Throw Technical (1 PTS),HOU,0
224,2,Thompson 21' Jump Shot (7 PTS) (Whitmore 1 AST),2,Thompson 21' Jump Shot (7 PTS) (Whitmore 1 AST),HOU,0
241,1,Sengun Free Throw 2 of 2 (3 PTS),1,Sengun Free Throw 2 of 2 (3 PTS),HOU,0
244,2,Sheppard 14' Running Pull-Up Jump Shot (3 PTS),2,Sheppard 14' Running Pull-Up Jump Shot (3 PTS),HOU,0
258,1,Brooks Free Throw 2 of 2 (4 PTS),1,Brooks Free Throw 2 of 2 (4 PTS),HOU,0
288,2,Eason 21' Pullup Jump Shot (4 PTS) (Sengun 2 AST),2,Eason 21' Pullup Jump Shot (4 PTS) (Sengun 2 AST),HOU,0
292,2,Ja. Green 2' Running Layup (10 PTS),2,Ja. Green 2' Running Layup (10 PTS),HOU,0
295,3,Ja. Green 26' 3PT Pullup Jump Shot (13 PTS),3,Ja. Green 26' 3PT Pullup Jump Shot (13 PTS),HOU,0
311,3,Ja. Green 25' 3PT Jump Shot (16 PTS) (Thompson 1 AST),3,Ja. Green 25' 3PT Jump Shot (16 PTS) (Thompson 1 AST),HOU,0
