period,pbp_order,abs_time,team_id,team_abbrev,flag_type,player_id,player_name,idle_seconds,description,resolved_via_last_name,sub_direction_inverted,lineup_json
1,98,683.2,1610612745,HOU,missing_sub_in,1628415,Dillon Brooks,,Brooks S.FOUL (P1.T3) (P.Ransom),false,false,"[1630224, 1630578, 1631106, 1641708]"
1,103,701.7,1610612745,HOU,missing_sub_in,1628415,Dillon Brooks,,MISS Brooks 18' Step Back Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
1,103,701.7,1610612745,HOU,possible_missing_sub_out,1641708,Amen Thompson,136.7,MISS Brooks 18' Step Back Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
1,104,704.2,1610612742,DAL,missing_sub_in,203957,Dante Exum,,Exum REBOUND (Off:0 Def:1),false,false,"[202691, 203076, 203915, 1629023]"
1,105,719.6,1610612742,DAL,missing_sub_in,202681,Kyrie Irving,,MISS Irving 13' Step Back Jump Shot,false,false,"[202691, 203076, 203915, 1629023]"
2,109,730.0,1610612742,DAL,missing_sub_in,1631108,Max Christie,,Christie S.FOUL (P1.T1) (P.Ransom),false,false,"[202691, 203076, 203915, 1629023]"
2,114,767.0,1610612745,HOU,missing_sub_in,203500,Steven Adams,,MISS Adams 6' Driving Hook Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
2,115,768.0,1610612745,HOU,missing_sub_in,203500,Steven Adams,,Adams REBOUND (Off:2 Def:1),false,false,"[1630224, 1630578, 1631106, 1641708]"
2,117,779.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,Sheppard REBOUND (Off:1 Def:0),false,false,"[1630224, 1630578, 1631106, 1641708]"
2,118,781.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,MISS Sheppard 7' Driving Floating Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
2,119,782.0,1610612742,DAL,possible_missing_sub_out,203076,Anthony Davis,120.3,Sheppard REBOUND (Off:2 Def:0),false,false,"[202691, 203076, 203915, 1629023]"
