flag_type,time,player_id,player_name,team,action_type,idle_seconds,description,resolution,full_details
first_action_events,779.0,1642263.0,Reed Sheppard,HOU,,,"","","{'time': 779.0, 'player_id': 1642263, 'player_name': 'Reed Sheppard', 'team': 'HOU', 'action': 'Sheppard REBOUND (Off:1 Def:0)'}"
auto_out_events,779.0,1630224.0,Jalen Green,HOU,,,"","","{'time': 779.0, 'player_id': 1630224, 'player_name': 'Jalen Green', 'team': 'HOU', 'idle_time': 244.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
inactivity_periods,795.0,1641715.0,Cam Whitmore,HOU,,136.0,"","","{'time': 795.0, 'player_id': 1641715, 'player_name': 'Cam Whitmore', 'team': 'HOU', 'idle_seconds': 136.0, 'last_action_time': 659.0}"
missing_sub_ins,839.0,1630256.0,Jae'Sean Tate,HOU,2.0,,MISS Tate 4' Driving Dunk,FIRST_ACTION_INJECTION,"{'time': 839.0, 'player_id': 1630256, 'player_name': ""Jae'Sean Tate"", 'team': 'HOU', 'action_type': 2, 'description': ""MISS Tate 4' Driving Dunk"", 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,839.0,,,HOU,,,"","","{'time': 839.0, 'team': 'HOU', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,839.0,1630256.0,Jae'Sean Tate,HOU,,,"","","{'time': 839.0, 'player_id': 1630256, 'player_name': ""Jae'Sean Tate"", 'team': 'HOU', 'action': ""MISS Tate 4' Driving Dunk""}"
auto_out_events,839.0,1641715.0,Cam Whitmore,HOU,,,"","","{'time': 839.0, 'player_id': 1641715, 'player_name': 'Cam Whitmore', 'team': 'HOU', 'idle_time': 180.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
inactivity_periods,871.0,1631108.0,Max Christie,DAL,,141.0,"","","{'time': 871.0, 'player_id': 1631108, 'player_name': 'Max Christie', 'team': 'DAL', 'idle_seconds': 141.0, 'last_action_time': 730.0}"
inactivity_periods,871.0,203957.0,Dante Exum,DAL,,166.79999999999995,"","","{'time': 871.0, 'player_id': 203957, 'player_name': 'Dante Exum', 'team': 'DAL', 'idle_seconds': 166.79999999999995, 'last_action_time': 704.2}"
inactivity_periods,871.0,1628415.0,Dillon Brooks,HOU,,169.29999999999995,"","","{'time': 871.0, 'player_id': 1628415, 'player_name': 'Dillon Brooks', 'team': 'HOU', 'idle_seconds': 169.29999999999995, 'last_action_time': 701.7}"
missing_sub_ins,874.0,1641715.0,Cam Whitmore,HOU,2.0,,MISS Whitmore 25' 3PT Running Jump Shot,FIRST_ACTION_INJECTION,"{'time': 874.0, 'player_id': 1641715, 'player_name': 'Cam Whitmore', 'team': 'HOU', 'action_type': 2, 'description': ""MISS Whitmore 25' 3PT Running Jump Shot"", 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,874.0,,,HOU,,,"","","{'time': 874.0, 'team': 'HOU', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,874.0,1641715.0,Cam Whitmore,HOU,,,"","","{'time': 874.0, 'player_id': 1641715, 'player_name': 'Cam Whitmore', 'team': 'HOU', 'action': ""MISS Whitmore 25' 3PT Running Jump Shot""}"
auto_out_events,874.0,203500.0,Steven Adams,HOU,,,"","","{'time': 874.0, 'player_id': 203500, 'player_name': 'Steven Adams', 'team': 'HOU', 'idle_time': 79.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
