gameId,nbaGameId,date,season,seasonType,nbaTeamId,team,opponent,offTeamId,defTeamId,pbpId,period,gameClock,wallClock,wallClockInt,description,msgType,actionType,option1,option2,option3,option4,homeScore,awayScore,playerId1,playerId2,playerId3,locX,locY,pts,pbpOrder,lastName1,statCategory1,lastName2,statCategory2,lastName3
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612745,1610612742,53,1,7:15,2025-02-08 20:19:57Z,407970,Davis REBOUND (Off:1 Def:4),4,0,0,0,0,0,14,7,203076,NA,NA,80,84,0,35,Davis,REB,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,54,1,7:03,2025-02-08 20:20:09Z,408090,Davis 25' 3PT Pullup Jump Shot (9 PTS),1,79,3,0,0,0,14,7,203076,NA,NA,-12,253,3,36,Davis,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,55,1,6:46,2025-02-08 20:20:26Z,408260,Ja. Green 25' 3PT Pullup Jump Shot (5 PTS),1,79,3,0,0,0,17,7,1630224,NA,NA,192,167,3,37,Green,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,56,1,6:37,2025-02-08 20:20:36Z,408360,MISS Thompson 18' Pullup Jump Shot,2,79,2,0,0,0,17,10,202691,NA,NA,183,24,0,38,Thompson,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612742,1610612745,57,1,6:33,2025-02-08 20:20:40Z,408400,Sengun REBOUND (Off:0 Def:1),4,0,0,0,0,0,17,10,1630578,NA,NA,183,24,0,39,Sengun,REB,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612745,1610612742,58,1,6:28,2025-02-08 20:20:47Z,408470,Gafford S.FOUL (P1.T1) (P.Ransom),6,2,0,0,2,0,17,10,1629655,1630224,1627963,-43,13,0,40,Gafford,PF,Green,NA,Ransom
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,60,1,6:28,2025-02-08 20:21:13Z,408730,MISS Ja. Green Free Throw 1 of 2,3,11,2,0,0,0,17,10,1630224,NA,NA,0,-80,0,41,Green,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,61,1,6:28,2025-02-08 20:21:13Z,408730,Rockets Rebound,4,1,1,0,0,0,17,10,NA,NA,NA,0,-80,0,42,NA,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612745,1610612742,62,1,6:28,2025-02-08 20:21:14Z,408740,SUB: Exum FOR Gafford,8,0,0,0,0,0,17,10,1629655,203957,NA,0,-80,0,43,Gafford,NA,Exum,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612745,1610612742,63,1,6:28,2025-02-08 20:21:14Z,408740,SUB: Christie FOR Thompson,8,0,0,0,0,0,17,10,202691,1631108,NA,0,-80,0,44,Thompson,NA,Christie,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,64,1,6:28,2025-02-08 20:21:14Z,408740,SUB: Whitmore FOR Brooks,8,0,0,0,0,0,17,10,1628415,1641715,NA,0,-80,0,45,Brooks,NA,Whitmore,NA,NA
